timestamp,player_name,total_games,wins,losses,win_ratio,avg_guesses,overall_most_used_word,overall_least_used_word,most_used_word_row1,most_used_word_row2,most_used_word_row3,most_used_word_row4,most_used_word_row5,most_used_word_row6,win_dist_row1,win_dist_row2,win_dist_row3,win_dist_row4,win_dist_row5,win_dist_row6,avg_row1_yellow,avg_row2_yellow,avg_row3_yellow,avg_row4_yellow,avg_row5_yellow,avg_row6_yellow,avg_row1_green,avg_row2_green,avg_row3_green,avg_row4_green,avg_row5_green,avg_row6_green
20240913_233732,RandomGuesser,2309,1046,1263,0.45300996102208746,5.0630975143403445,CEDED,NEEMB,BOTCH,DORIC,BUFFE,DODDY,FETTA,CHACK,0,5,66,204,354,417,0.8293633607622347,1.1039411000433088,1.0234375,0.838248436103664,0.6932153392330384,0.5833333333333334,0.34387180597661327,0.8510177566045908,1.4943576388888888,2.16934763181412,2.711897738446411,3.1279761904761907
20240913_233828,RandomGuesser,2309,1066,1243,0.4616717193590299,5.049718574108818,ALGAL,SLANK,ALCES,COLOR,MAKAI,BLEND,BELLE,SCOBE,0,5,65,214,370,412,0.8380251190991771,1.1091381550454742,0.9635416666666666,0.8284948637784725,0.68,0.5776435045317221,0.32871372888696404,0.8336942399307059,1.5,2.199642697632872,2.754074074074074,3.125679758308157
20240913_234616,RandomGuesser,2309,1091,1218,0.4724989172802079,5.07057745187901,HEWER,GLODE,HULLS,GARBA,NAMAD,ROGER,BELLE,MOWER,1,5,62,220,363,440,0.8432221741013426,1.074523396880416,1.0065132435953104,0.8273092369477911,0.6556160316674914,0.5669481302774427,0.3378085751407536,0.8734835355285961,1.5032566217976553,2.1950022311468094,2.7704106877783277,3.1893848009650183
20240913_234954,RandomGuesser,2309,1046,1263,0.45300996102208746,5.098470363288719,MOROR,ALANE,GAVOT,COPAL,BREVE,RARER,ARMOR,TAATA,0,13,49,200,344,440,0.8280640970116934,1.061065396275444,1.0034843205574913,0.8255451713395638,0.6697606253053249,0.5660598943041691,0.36119532265049803,0.8826331745344305,1.5,2.197596795727637,2.7454811919882753,3.1861421021726364
20240913_235059,RandomGuesser,2309,1066,1243,0.4616717193590299,5.092870544090056,DRIED,VEXIL,SWAMY,WHIPS,KADAI,WRAWL,KNOWN,SHAKY,1,9,61,192,359,444,0.8349935036812473,1.1031195840554593,0.9960852544584602,0.8351206434316354,0.6759530791788856,0.5477178423236515,0.3577306193157211,0.8565857885615251,1.518051326663767,2.173815907059875,2.7267839687194524,3.1724955542382927
20240914_000307,RandomGuesser,2309,1099,1210,0.4759636206149848,5.023657870791629,GLOAT,LUFFA,IMLIS,FLUYT,TRUER,BREER,MOTTO,FLAIL,0,7,78,219,373,422,0.8332611520138589,1.0493720225205716,0.9674196350999131,0.7913669064748201,0.6603491271820449,0.5888480392156863,0.34820268514508446,0.8899956691208315,1.5690703735881841,2.221223021582734,2.8024937655860347,3.1715686274509802
20240914_001203,RandomGuesser,2309,1104,1205,0.47812906019922047,5.056159420289855,TALAQ,PARLE,KAVAL,PLENE,STARR,MALAM,ERROR,AFOOT,0,10,77,199,373,445,0.8380251190991771,1.0705933304460806,0.9756415832970857,0.8316831683168316,0.6549678695007415,0.5563636363636364,0.3642269380684279,0.913382416630576,1.5602435841670292,2.2034203420342036,2.790904597132971,3.2206060606060607
20240914_005435,RandomGuesser,2309,1130,1179,0.48938934603724554,5.053097345132743,ROWER,ALECS,LUPIN,FLUTY,GRIEF,DANDY,BELLE,AWAKE,0,10,79,212,369,460,0.8445214378518839,1.060632308358597,0.9473684210526315,0.7923423423423424,0.6374501992031872,0.565588773642465,0.3711563447379818,0.9376353399740147,1.579817311874728,2.2436936936936935,2.812749003984064,3.241000610128127
20240914_005743,RandomGuesser,2309,1095,1214,0.4742312689475964,5.050228310502283,CRARE,BITES,SUBAH,BETEL,WOODY,MOREE,URARE,SNOOT,0,10,86,180,382,437,0.8453876136855781,1.0944131658726721,0.9860809047411918,0.8269317668323543,0.6532218396458436,0.5578437310720775,0.36985708098744047,0.895192724122997,1.5450195737277077,2.1721644826028017,2.7845548450565665,3.2041187159297397
20240914_005835,RandomGuesser,2309,1105,1204,0.47856214811606756,5.086877828054298,THRAW,OPENS,RAHUI,TEIND,LOGOI,FLOOD,ANANA,SAFES,0,11,62,208,363,461,0.8726721524469467,1.0857514075357297,0.9969538729329852,0.8072450805008945,0.6464497041420119,0.5477477477477477,0.3594629709831096,0.9008228670420095,1.5156657963446476,2.208407871198569,2.807199211045365,3.2246246246246244
20240914_010026,RandomGuesser,2309,1149,1160,0.49761801645734083,5.00609225413403,PATTA,KAYLE,SOJUS,PECKY,CANGS,COBBY,FERER,PAPAL,0,10,83,236,381,439,0.8410567345171069,1.043308791684712,0.9730317529360591,0.822202166064982,0.6696969696969697,0.533458411507192,0.3512343005630143,0.9181463837158943,1.585471944323619,2.25,2.817171717171717,3.230769230769231
20240914_015822,RandomGuesser,2309,1106,1203,0.47899523603291466,5.049728752260398,POTOO,SPOOM,POXED,POALO,EDGED,FLOOD,BOWER,TOOTH,0,8,93,181,378,446,0.830229536595929,1.0623646600259853,0.9882659713168188,0.8165760869565217,0.6640355204736064,0.5445724681625227,0.3425725422260719,0.8752706799480294,1.529335071707953,2.183423913043478,2.8061174148988655,3.220739842328684
20240914_234732,RandomGuesser,2309,1099,1210,0.4759636206149848,5.004549590536851,FEARE,NUMBS,EDGER,BOURG,MOROR,SCADS,TOOTH,TWEET,0,11,72,229,376,411,0.8549155478562148,1.0640970116933737,0.9625761531766753,0.8090745732255166,0.656484727090636,0.5619987661937076,0.36076223473365093,0.895625812039844,1.5430809399477807,2.224168912848158,2.8057085628442664,3.164096236890808
20240920_143433,RandomGuesser,2309,1097,1212,0.4750974447812906,5.03281677301732,CROCK,WATAP,POUPE,DOOLE,RUICE,GAZAR,CLING,SIRIS,2,10,69,227,350,439,0.8605456907752274,1.096228868660598,0.978232477144101,0.8128366247755835,0.6506746626686657,0.5420956995760146,0.353832828064097,0.8621586475942783,1.5254680017414017,2.2158886894075405,2.7721139430284856,3.2337976983646275
